month,hour,co2_eq_kg_per_MWh
1,0,397.800184
1,1,419.5726
1,2,427.737256
1,3,429.551624
1,4,428.64444
1,5,409.139984
1,6,387.82116
1,7,367.40952
1,8,358.791272
1,9,350.173024
1,10,345.183512
1,11,346.99788
1,12,351.5338
1,13,356.523312
1,14,360.60564
1,15,363.780784
1,16,363.780784
1,17,342.915552
1,18,317.5144
1,19,322.503912
1,20,332.936528
1,21,350.626616
1,22,363.327192
1,23,372.852624
2,0,390.996304
2,1,412.315128
2,2,421.386968
2,3,424.10852
2,4,420.933376
2,5,397.800184
2,6,373.306216
2,7,355.162536
2,8,339.286816
2,9,332.029344
2,10,328.8542
2,11,329.761384
2,12,334.750896
2,13,337.472448
2,14,341.554776
2,15,346.99788
2,16,348.812248
2,17,340.647592
2,18,309.803336
2,19,309.349744
2,20,318.421584
2,21,334.750896
2,22,347.905064
2,23,362.8736
3,0,390.542712
3,1,412.76872
3,2,423.654928
3,3,426.37648
3,4,424.10852
3,5,407.325616
3,6,385.099608
3,7,362.420008
3,8,346.99788
3,9,338.379632
3,10,333.39012
3,11,332.029344
3,12,334.297304
3,13,336.111672
3,14,339.286816
3,15,343.822736
3,16,346.544288
3,17,346.090696
3,18,326.132648
3,19,311.164112
3,20,320.235952
3,21,337.92604
3,22,353.80176
3,23,366.955928
4,0,416.851048
4,1,435.44832
4,2,444.066568
4,3,446.334528
4,4,434.541136
4,5,406.872024
4,6,389.635528
4,7,367.40952
4,8,357.884088
4,9,351.5338
4,10,346.544288
4,11,345.637104
4,12,345.637104
4,13,345.637104
4,14,348.358656
4,15,353.348168
4,16,358.33768
4,17,357.430496
4,18,352.894576
4,19,332.029344
4,20,339.286816
4,21,356.523312
4,22,373.306216
4,23,386.913976
5,0,361.059232
5,1,376.934952
5,2,382.831648
5,3,385.099608
5,4,378.74932
5,5,359.698456
5,6,346.99788
5,7,327.493424
5,8,322.503912
5,9,319.78236
5,10,316.607216
5,11,315.700032
5,12,313.432072
5,13,310.71052
5,14,311.617704
5,15,312.97848
5,16,317.060808
5,17,320.689544
5,18,323.864688
5,19,316.607216
5,20,316.607216
5,21,327.493424
5,22,329.307792
5,23,336.111672
6,0,370.584664
6,1,388.728344
6,2,394.62504
6,3,399.16096
6,4,395.532224
6,5,379.202912
6,6,361.512824
6,7,338.379632
6,8,331.12216
6,9,328.400608
6,10,323.864688
6,11,321.596728
6,12,317.5144
6,13,312.524888
6,14,309.803336
6,15,308.44256
6,16,311.617704
6,17,319.328768
6,18,324.771872
6,19,326.58624
6,20,324.31828
6,21,331.575752
6,22,340.647592
6,23,351.080208
7,0,395.532224
7,1,415.03668
7,2,424.10852
7,3,427.737256
7,4,425.015704
7,5,410.50076
7,6,393.264264
7,7,366.955928
7,8,355.616128
7,9,351.987392
7,10,350.626616
7,11,352.440984
7,12,353.348168
7,13,346.99788
7,14,339.740408
7,15,337.018856
7,16,337.92604
7,17,346.99788
7,18,357.430496
7,19,359.698456
7,20,360.152048
7,21,362.420008
7,22,369.223888
7,23,375.574176
8,0,414.583088
8,1,433.18036
8,2,439.98424
8,3,443.612976
8,4,443.159384
8,5,419.119008
8,6,405.96484
8,7,378.295728
8,8,366.955928
8,9,364.234376
8,10,362.420008
8,11,364.234376
8,12,364.234376
8,13,355.162536
8,14,347.451472
8,15,345.637104
8,16,346.99788
8,17,358.791272
8,18,365.595152
8,19,366.048744
8,20,369.223888
8,21,376.934952
8,22,385.099608
8,23,393.264264
9,0,421.386968
9,1,438.169872
9,2,444.973752
9,3,447.241712
9,4,442.2522
9,5,415.943864
9,6,409.593576
9,7,385.5532
9,8,371.038256
9,9,366.955928
9,10,363.327192
9,11,361.059232
9,12,356.523312
9,13,348.812248
9,14,343.822736
9,15,342.46196
9,16,347.451472
9,17,358.33768
9,18,360.60564
9,19,355.162536
9,20,367.40952
9,21,381.470872
9,22,386.913976
9,23,398.253776
10,0,439.530648
10,1,456.767144
10,2,462.66384
10,3,462.210248
10,4,450.416856
10,5,418.665416
10,6,405.511248
10,7,389.181936
10,8,375.120584
10,9,367.863112
10,10,362.8736
10,11,361.059232
10,12,356.976904
10,13,352.440984
10,14,351.080208
10,15,352.894576
10,16,358.791272
10,17,361.059232
10,18,343.369144
10,19,350.173024
10,20,368.316704
10,21,386.006792
10,22,394.171448
10,23,409.593576
11,0,410.50076
11,1,434.541136
11,2,443.612976
11,3,446.78812
11,4,441.798608
11,5,417.758232
11,6,389.635528
11,7,373.759808
11,8,363.780784
11,9,358.33768
11,10,353.348168
11,11,351.987392
11,12,353.348168
11,13,354.708944
11,14,355.616128
11,15,359.244864
11,16,356.976904
11,17,337.018856
11,18,321.143136
11,19,330.668568
11,20,343.822736
11,21,357.884088
11,22,370.584664
11,23,381.924464
12,0,415.490272
12,1,440.891424
12,2,450.416856
12,3,454.952776
12,4,451.777632
12,5,432.726768
12,6,405.057656
12,7,387.82116
12,8,379.656504
12,9,372.852624
12,10,368.316704
12,11,369.67748
12,12,371.94544
12,13,375.120584
12,14,376.48136
12,15,380.563688
12,16,377.842136
12,17,343.822736
12,18,327.493424
12,19,333.843712
12,20,343.369144
12,21,361.059232
12,22,379.202912
12,23,389.181936